ema_fast,ema_slow,note
57,62,59/-2 | 64/-2
57,63,59/-2 | 64/-1
57,64,59/-2 | 64
57,65,59/-2 | 64/1
57,66,59/-2 | 64/2
58,62,59/-1 | 64/-2
58,63,59/-1 | 64/-1
58,64,59/-1 | 64
58,65,59/-1 | 64/1
58,66,59/-1 | 64/2
59,62,59 | 64/-2
59,63,59 | 64/-1
59,64,59/0 | 64/0
59,65,59 | 64/1
59,66,59 | 64/2
60,62,59/1 | 64/-2
60,63,59/1 | 64/-1
60,64,59/1 | 64
60,65,59/1 | 64/1
60,66,59/1 | 64/2
61,62,59/2 | 64/-2
61,63,59/2 | 64/-1
61,64,59/2 | 64
61,65,59/2 | 64/1
61,66,59/2 | 64/2
59,60,61/-2 | 62/-2
59,61,61/-2 | 62/-1
60,61,61/-1 | 62/-1
62,63,61/1 | 62/1
62,64,61/1 | 62/2
63,64,61/2 | 62/2
58,61,60/-2 | 63/-2
62,65,60/2 | 63/2
