ema_fast,ema_slow,total_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,final_equity,pnl_percent
1,2,9134,32.8,1.053194,-0.557689,0.9218,34.1638,732.2776,-26.7722
1,3,7714,31.66,1.150994,-0.568276,0.9385,25.7393,815.9117,-18.4088
1,4,6840,30.23,1.263005,-0.583819,0.9379,25.5291,827.0804,-17.292
1,5,6179,28.89,1.371827,-0.592158,0.9413,23.0783,847.3622,-15.2638
1,6,5679,27.72,1.505248,-0.598667,0.9643,19.6065,912.3305,-8.767
1,7,5240,26.53,1.647985,-0.602187,0.9883,17.6283,972.8828,-2.7117
1,8,4881,25.79,1.763117,-0.609031,1.0066,17.4085,1014.4642,1.4464
1,9,4636,25.19,1.848695,-0.613966,1.0144,18.0634,1030.6575,3.0658
1,10,4380,24.82,1.931238,-0.629625,1.0128,18.1201,1026.531,2.6531
1,11,4181,24.11,2.032158,-0.6339,1.0187,16.2927,1037.6843,3.7684
1,12,3959,23.79,2.132735,-0.647276,1.0288,17.0207,1056.2054,5.6205
1,13,3779,24.05,2.155941,-0.657629,1.0383,15.6371,1072.3542,7.2354
1,14,3643,23.69,2.236942,-0.661909,1.0491,14.4843,1090.375,9.0375
1,15,3489,23.02,2.373951,-0.674464,1.0523,14.3155,1094.6728,9.4673
1,16,3372,22.84,2.41103,-0.678219,1.0524,13.2118,1092.4464,9.2446
1,17,3266,22.08,2.518835,-0.677625,1.0535,12.3103,1092.2028,9.2203
1,18,3160,21.84,2.589636,-0.687953,1.052,11.1418,1088.2922,8.8292
1,19,3081,21.32,2.67276,-0.684609,1.0582,13.1596,1096.5116,9.6512
1,20,2973,20.62,2.808592,-0.674203,1.082,10.92,1130.5474,13.0547
1,21,2880,21.08,2.789136,-0.687861,1.0828,10.6468,1129.498,12.9498
1,22,2826,20.95,2.7998,-0.683597,1.0853,10.1555,1130.325,13.0325
1,23,2754,20.41,2.908322,-0.692995,1.076,10.1465,1115.4321,11.5432
1,24,2684,20.53,2.908347,-0.697974,1.0764,11.2018,1113.7209,11.3721
1,25,2614,20.12,3.000053,-0.713085,1.0598,11.7465,1089.1056,8.9106
1,26,2564,19.93,3.047515,-0.710232,1.068,12.5082,1099.1749,9.9175
1,27,2480,20.0,3.126462,-0.71222,1.0974,10.8627,1137.6807,13.7681
1,28,2436,19.99,3.170585,-0.717619,1.104,11.1082,1145.4345,14.5435
1,29,2389,20.01,3.188453,-0.716926,1.1124,10.6961,1154.0357,15.4036
1,30,2339,19.75,3.270801,-0.708771,1.1359,9.2269,1180.7467,18.0747
1,31,2301,19.99,3.23369,-0.714033,1.1316,9.4036,1172.962,17.2962
1,32,2247,19.8,3.314742,-0.734055,1.1151,11.1508,1152.2922,15.2292
1,33,2197,20.07,3.292415,-0.745641,1.1089,11.0724,1142.6095,14.2609
1,34,2150,19.81,3.397754,-0.749508,1.1202,11.2269,1155.2906,15.5291
1,35,2103,19.78,3.462898,-0.748528,1.1408,10.2931,1177.7987,17.7799
1,36,2085,19.52,3.508891,-0.745381,1.1418,10.5418,1177.3687,17.7369
1,37,2041,19.21,3.608481,-0.748607,1.1459,10.5975,1180.071,18.0071
1,38,1998,19.52,3.600049,-0.739369,1.1809,9.298,1215.1133,21.5113
1,39,1953,19.66,3.642158,-0.73671,1.21,9.21,1242.69,24.269
1,40,1918,19.71,3.663982,-0.745855,1.2058,9.2477,1236.369,23.6369
1,41,1886,19.83,3.692155,-0.743331,1.2286,8.0945,1256.9488,25.6949
1,42,1864,19.47,3.800662,-0.746317,1.2316,8.6698,1259.4176,25.9418
1,43,1830,19.67,3.843022,-0.757748,1.242,8.5904,1269.5985,26.9598
1,44,1805,19.83,3.835798,-0.757642,1.2526,8.2797,1276.9078,27.6908
1,45,1774,19.9,3.853988,-0.762246,1.256,8.2988,1277.3064,27.7306
1,46,1741,19.99,3.904471,-0.750599,1.2995,7.836,1313.172,31.3172
1,47,1732,19.8,3.916972,-0.748556,1.2922,7.9101,1303.7771,30.3777
1,48,1702,20.21,3.885236,-0.760325,1.2944,7.6546,1303.9996,30.4
1,49,1694,20.37,3.839089,-0.756124,1.2985,8.1489,1304.4741,30.4474
1,50,1680,20.6,3.824314,-0.767754,1.292,8.8075,1299.0288,29.9029
1,51,1640,20.73,3.863936,-0.757276,1.3345,7.1822,1329.2801,32.928
1,52,1612,20.78,3.902766,-0.758885,1.3491,7.4155,1338.3298,33.833
1,53,1577,20.67,4.009549,-0.7673,1.3617,7.1542,1347.2199,34.722
1,54,1563,20.41,4.061535,-0.782465,1.3311,7.1747,1322.2434,32.2243
1,55,1545,20.78,4.010985,-0.782806,1.3438,7.2263,1329.3717,32.9372
1,56,1515,20.79,4.074812,-0.777666,1.3766,7.0181,1351.1439,35.1144
1,57,1499,20.35,4.149478,-0.782357,1.3548,7.3662,1331.4562,33.1456
1,58,1493,20.16,4.179743,-0.787774,1.3398,7.8972,1319.0759,31.9076
1,59,1466,19.99,4.325898,-0.791552,1.3651,7.682,1338.9972,33.8997
1,60,1452,19.83,4.357338,-0.810521,1.3301,8.8019,1311.4674,31.1467
1,61,1439,20.15,4.321993,-0.80432,1.3562,8.3639,1329.2138,32.9214
1,62,1420,19.79,4.452908,-0.801928,1.3699,8.3133,1337.8708,33.7871
1,63,1407,19.62,4.510125,-0.804708,1.3677,7.9337,1334.6697,33.467
1,64,1394,19.73,4.502852,-0.798615,1.3856,8.4597,1344.6342,34.4634
1,65,1371,19.99,4.484698,-0.805572,1.3905,8.07,1345.0948,34.5095
1,66,1350,19.93,4.552593,-0.809826,1.3989,8.1063,1349.2255,34.9225
1,67,1325,19.55,4.729897,-0.812047,1.4152,8.0432,1359.4012,35.9401
1,68,1319,19.11,4.866814,-0.80843,1.4218,7.6749,1363.8425,36.3843
1,69,1301,19.14,4.916871,-0.808706,1.4391,6.7578,1373.542,37.3542
1,70,1280,19.3,4.908735,-0.803592,1.4606,6.9345,1382.3466,38.2347
1,71,1272,19.18,4.964796,-0.811891,1.4514,7.0917,1376.7858,37.6786
1,72,1266,18.72,5.113001,-0.815885,1.4434,7.1433,1372.2357,37.2236
1,73,1248,19.07,5.076506,-0.820783,1.4574,7.0575,1379.2181,37.9218
1,74,1245,19.12,5.064107,-0.822597,1.455,7.029,1376.9019,37.6902
1,75,1231,19.17,5.0839,-0.817665,1.4747,6.7643,1386.2238,38.6224
1,76,1217,19.23,5.143833,-0.824304,1.4855,6.5455,1393.3656,39.3366
1,77,1211,18.99,5.213359,-0.824168,1.4831,6.2413,1390.5636,39.0564
1,78,1194,19.18,5.231775,-0.81288,1.5273,5.6272,1413.6476,41.3648
1,79,1190,18.99,5.290738,-0.808505,1.5341,5.5657,1416.308,41.6308
1,80,1176,19.13,5.308822,-0.814662,1.5418,5.4205,1419.7409,41.9741
1,81,1163,18.83,5.442212,-0.818341,1.5428,5.3861,1419.3306,41.9331
1,82,1159,18.64,5.472098,-0.816292,1.5355,5.3339,1412.21,41.221
1,83,1147,18.74,5.510715,-0.812304,1.565,5.1529,1427.7364,42.7736
1,84,1142,18.65,5.525932,-0.815906,1.5528,5.2835,1419.0467,41.9047
1,85,1133,18.71,5.527632,-0.808542,1.5737,4.6327,1427.1911,42.7191
1,86,1134,18.61,5.53787,-0.808706,1.5654,5.0112,1422.0548,42.2055
1,87,1124,18.68,5.572366,-0.813759,1.5733,5.1469,1426.4214,42.6421
1,88,1114,18.67,5.558998,-0.821581,1.5534,5.1027,1411.9192,41.1919
1,89,1105,18.82,5.511589,-0.80879,1.5802,5.1138,1420.9256,42.0926
1,90,1099,18.65,5.588878,-0.813361,1.5756,5.108,1418.5756,41.8576
1,91,1089,18.55,5.658357,-0.81201,1.5869,5.1133,1422.7357,42.2736
1,92,1094,18.1,5.74701,-0.81209,1.5638,5.1094,1410.2752,41.0275
1,93,1083,18.1,5.775026,-0.806191,1.5829,5.0647,1416.8135,41.6814
1,94,1077,18.11,5.774114,-0.812201,1.5718,5.0476,1409.5909,40.9591
1,95,1065,18.5,5.702245,-0.801283,1.6151,4.7533,1427.8283,42.7828
1,96,1055,18.67,5.70235,-0.800339,1.6359,4.6608,1436.6723,43.6672
1,97,1035,19.03,5.687709,-0.80725,1.6563,4.9057,1444.0035,44.4003
1,98,1027,18.89,5.762666,-0.81027,1.6563,5.0565,1443.0024,44.3002
1,99,1022,18.59,5.839467,-0.815145,1.6359,5.0856,1431.2985,43.1299
1,100,1022,18.59,5.775908,-0.806192,1.6361,4.8875,1426.6708,42.6671
2,3,5693,29.62,1.436757,-0.648172,0.9329,25.8451,825.7947,-17.4205
2,4,4951,28.86,1.626445,-0.675977,0.9762,18.9624,943.3979,-5.6602
2,5,4467,27.94,1.800157,-0.694502,1.0049,16.352,1010.9936,1.0994
2,6,4045,27.07,1.955468,-0.717478,1.0117,14.7755,1024.6781,2.4678
2,7,3766,26.42,2.067793,-0.728417,1.0193,13.3529,1039.0109,3.9011
2,8,3520,25.77,2.220746,-0.74917,1.0289,14.4999,1056.6355,5.6635
2,9,3299,25.61,2.349261,-0.778458,1.0391,13.2121,1074.7894,7.4789
2,10,3090,25.4,2.46281,-0.801321,1.0467,11.9144,1086.2604,8.626
2,11,2915,25.01,2.599616,-0.810696,1.0694,10.9115,1122.9375,12.2938
2,12,2783,24.87,2.683561,-0.823776,1.0781,10.0104,1134.5092,13.4509
2,13,2665,24.88,2.778279,-0.837074,1.0997,9.7188,1167.0132,16.7013
2,14,2551,24.19,2.896108,-0.84717,1.0912,9.3475,1149.3184,14.9318
2,15,2448,23.12,3.073132,-0.857478,1.0784,10.3307,1126.4765,12.6477
2,16,2382,22.96,3.116881,-0.861264,1.0788,11.3544,1124.5135,12.4514
2,17,2310,22.81,3.162221,-0.859942,1.0869,11.3144,1133.214,13.3214
2,18,2236,22.99,3.162453,-0.861675,1.0955,11.098,1141.6963,14.1696
2,19,2163,22.61,3.301218,-0.862993,1.1174,10.3446,1169.6455,16.9646
2,20,2110,22.27,3.353034,-0.870218,1.1042,11.4225,1148.7686,14.8769
2,21,2074,21.7,3.419335,-0.871261,1.0875,11.4121,1123.7723,12.3772
2,22,2020,21.34,3.551035,-0.87234,1.1041,10.0691,1144.3475,14.4347
2,23,1986,21.15,3.578257,-0.874133,1.0979,9.9342,1133.9757,13.3976
2,24,1912,21.55,3.625818,-0.889472,1.1196,9.0462,1159.6291,15.9629
2,25,1844,21.75,3.698375,-0.903327,1.1377,7.9203,1179.547,17.9547
2,26,1805,21.77,3.68197,-0.910996,1.1249,8.889,1160.6877,16.0688
2,27,1758,21.79,3.756235,-0.91854,1.1391,8.8605,1175.6456,17.5646
2,28,1718,22.0,3.764059,-0.924725,1.1482,9.8015,1183.6823,18.3682
2,29,1676,22.14,3.806725,-0.929146,1.1647,9.2547,1199.7591,19.9759
2,30,1642,21.99,3.894467,-0.933725,1.1754,9.2583,1209.8006,20.9801
2,31,1600,21.81,3.994233,-0.937442,1.1887,9.5608,1221.247,22.1247
2,32,1549,22.08,4.050013,-0.957281,1.1988,9.644,1229.6656,22.9666
2,33,1516,22.03,4.139479,-0.969567,1.2064,9.1986,1236.5574,23.6557
2,34,1485,22.22,4.140449,-0.975209,1.2131,9.4586,1239.9813,23.9981
2,35,1459,22.34,4.165899,-0.971784,1.2335,9.0323,1257.0519,25.7052
2,36,1439,22.45,4.175716,-0.970604,1.2452,8.5745,1265.5622,26.5562
2,37,1402,22.75,4.230469,-0.980088,1.2714,8.36,1288.0843,28.8084
2,38,1390,22.59,4.255109,-0.982425,1.2639,8.2744,1279.0151,27.9015
2,39,1366,22.84,4.28753,-0.990321,1.2816,8.3226,1293.9113,29.3911
2,40,1340,22.99,4.302608,-0.986698,1.3014,8.1415,1306.931,30.6931
2,41,1322,22.92,4.297126,-0.988214,1.293,8.263,1295.0395,29.504
2,42,1298,22.65,4.388129,-0.988511,1.2999,7.5406,1297.6454,29.7645
2,43,1274,22.37,4.50173,-0.989259,1.3113,8.0858,1304.6161,30.4616
2,44,1260,22.46,4.495211,-0.979645,1.3291,7.4623,1315.0314,31.5031
2,45,1234,22.77,4.495523,-0.988299,1.3412,7.9224,1321.3932,32.1393
2,46,1206,22.64,4.602232,-0.989198,1.3613,8.334,1333.488,33.3488
2,47,1188,22.64,4.662602,-0.998138,1.3673,8.2172,1336.9507,33.6951
