note,start_date,end_date,ema_fast,ema_slow,total_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,final_equity,pnl_percent
sideways_high,2017-09-02 20:00:00+07:00,2017-09-05 00:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-02 20:00:00+07:00,2017-09-05 00:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-02 20:00:00+07:00,2017-09-05 00:00:00+07:00,59,64,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-02 20:00:00+07:00,2017-09-05 00:00:00+07:00,58,65,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-02 20:00:00+07:00,2017-09-05 00:00:00+07:00,70,94,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-06 04:00:00+07:00,2017-09-10 12:00:00+07:00,60,63,1,0.0,,-7.287263,0.0,0.7287,992.7127,-0.7287
sideways_high,2017-09-06 04:00:00+07:00,2017-09-10 12:00:00+07:00,61,62,1,0.0,,-7.287263,0.0,0.7287,992.7127,-0.7287
sideways_high,2017-09-06 04:00:00+07:00,2017-09-10 12:00:00+07:00,59,64,1,0.0,,-7.287263,0.0,0.7287,992.7127,-0.7287
sideways_high,2017-09-06 04:00:00+07:00,2017-09-10 12:00:00+07:00,58,65,1,0.0,,-7.287263,0.0,0.7287,992.7127,-0.7287
sideways_high,2017-09-06 04:00:00+07:00,2017-09-10 12:00:00+07:00,70,94,1,0.0,,-8.564941,0.0,0.8565,991.4351,-0.8565
sideways_high,2017-09-11 09:00:00+07:00,2017-09-13 15:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-11 09:00:00+07:00,2017-09-13 15:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-11 09:00:00+07:00,2017-09-13 15:00:00+07:00,59,64,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-11 09:00:00+07:00,2017-09-13 15:00:00+07:00,58,65,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-11 09:00:00+07:00,2017-09-13 15:00:00+07:00,70,94,0,,,,,0.0,1000.0,0.0
bear_high,2017-09-13 16:00:00+07:00,2017-09-18 08:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
bear_high,2017-09-13 16:00:00+07:00,2017-09-18 08:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
bear_high,2017-09-13 16:00:00+07:00,2017-09-18 08:00:00+07:00,59,64,0,,,,,0.0,1000.0,0.0
bear_high,2017-09-13 16:00:00+07:00,2017-09-18 08:00:00+07:00,58,65,0,,,,,0.0,1000.0,0.0
bear_high,2017-09-13 16:00:00+07:00,2017-09-18 08:00:00+07:00,70,94,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-18 09:00:00+07:00,2017-09-22 15:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-18 09:00:00+07:00,2017-09-22 15:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-18 09:00:00+07:00,2017-09-22 15:00:00+07:00,59,64,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-18 09:00:00+07:00,2017-09-22 15:00:00+07:00,58,65,0,,,,,0.0,1000.0,0.0
sideways_high,2017-09-18 09:00:00+07:00,2017-09-22 15:00:00+07:00,70,94,1,0.0,,-8.977159,0.0,0.8977,991.0228,-0.8977
sideways_low,2017-09-26 02:00:00+07:00,2017-09-28 04:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
sideways_low,2017-09-26 02:00:00+07:00,2017-09-28 04:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
sideways_low,2017-09-26 02:00:00+07:00,2017-09-28 04:00:00+07:00,59,64,0,,,,,0.0,1000.0,0.0
sideways_low,2017-09-26 02:00:00+07:00,2017-09-28 04:00:00+07:00,58,65,0,,,,,0.0,1000.0,0.0
sideways_low,2017-09-26 02:00:00+07:00,2017-09-28 04:00:00+07:00,70,94,0,,,,,0.0,1000.0,0.0
sideways_low,2017-10-05 04:00:00+07:00,2017-10-09 07:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
sideways_low,2017-10-05 04:00:00+07:00,2017-10-09 07:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
sideways_low,2017-10-05 04:00:00+07:00,2017-10-09 07:00:00+07:00,59,64,0,,,,,0.0,1000.0,0.0
sideways_low,2017-10-05 04:00:00+07:00,2017-10-09 07:00:00+07:00,58,65,0,,,,,0.0,1000.0,0.0
sideways_low,2017-10-05 04:00:00+07:00,2017-10-09 07:00:00+07:00,70,94,0,,,,,0.0,1000.0,0.0
sideways_high,2017-10-23 12:00:00+07:00,2017-10-26 08:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
sideways_high,2017-10-23 12:00:00+07:00,2017-10-26 08:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
sideways_high,2017-10-23 12:00:00+07:00,2017-10-26 08:00:00+07:00,59,64,0,,,,,0.0,1000.0,0.0
sideways_high,2017-10-23 12:00:00+07:00,2017-10-26 08:00:00+07:00,58,65,0,,,,,0.0,1000.0,0.0
sideways_high,2017-10-23 12:00:00+07:00,2017-10-26 08:00:00+07:00,70,94,0,,,,,0.0,1000.0,0.0
sideways_low,2017-10-26 09:00:00+07:00,2017-10-30 16:00:00+07:00,60,63,1,0.0,,-2.637471,0.0,0.2637,997.3625,-0.2637
sideways_low,2017-10-26 09:00:00+07:00,2017-10-30 16:00:00+07:00,61,62,1,0.0,,-2.637471,0.0,0.2637,997.3625,-0.2637
sideways_low,2017-10-26 09:00:00+07:00,2017-10-30 16:00:00+07:00,59,64,1,0.0,,-2.637471,0.0,0.2637,997.3625,-0.2637
sideways_low,2017-10-26 09:00:00+07:00,2017-10-30 16:00:00+07:00,58,65,1,0.0,,-2.637471,0.0,0.2637,997.3625,-0.2637
sideways_low,2017-10-26 09:00:00+07:00,2017-10-30 16:00:00+07:00,70,94,1,0.0,,-4.595869,0.0,0.4596,995.4041,-0.4596
bull_high,2017-11-02 17:00:00+07:00,2017-11-04 18:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
bull_high,2017-11-02 17:00:00+07:00,2017-11-04 18:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
bull_high,2017-11-02 17:00:00+07:00,2017-11-04 18:00:00+07:00,59,64,0,,,,,0.0,1000.0,0.0
bull_high,2017-11-02 17:00:00+07:00,2017-11-04 18:00:00+07:00,58,65,0,,,,,0.0,1000.0,0.0
bull_high,2017-11-02 17:00:00+07:00,2017-11-04 18:00:00+07:00,70,94,0,,,,,0.0,1000.0,0.0
bull_low,2017-11-04 21:00:00+07:00,2017-11-06 23:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
bull_low,2017-11-04 21:00:00+07:00,2017-11-06 23:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
bull_low,2017-11-04 21:00:00+07:00,2017-11-06 23:00:00+07:00,59,64,0,,,,,0.0,1000.0,0.0
bull_low,2017-11-04 21:00:00+07:00,2017-11-06 23:00:00+07:00,58,65,0,,,,,0.0,1000.0,0.0
bull_low,2017-11-04 21:00:00+07:00,2017-11-06 23:00:00+07:00,70,94,0,,,,,0.0,1000.0,0.0
bear_high,2017-11-11 13:00:00+07:00,2017-11-14 03:00:00+07:00,60,63,0,,,,,0.0,1000.0,0.0
bear_high,2017-11-11 13:00:00+07:00,2017-11-14 03:00:00+07:00,61,62,0,,,,,0.0,1000.0,0.0
