regime_block,regime,start,end,count
1,sideways_low,2017-08-26 15:00:00+07:00,2017-08-28 10:00:00+07:00,44
2,sideways_high,2017-08-28 11:00:00+07:00,2017-08-29 12:00:00+07:00,26
3,sideways_low,2017-08-29 13:00:00+07:00,2017-08-29 13:00:00+07:00,1
4,sideways_high,2017-08-29 14:00:00+07:00,2017-08-30 08:00:00+07:00,19
5,bull_high,2017-08-30 09:00:00+07:00,2017-08-31 04:00:00+07:00,20
6,sideways_high,2017-08-31 05:00:00+07:00,2017-08-31 06:00:00+07:00,2
7,sideways_low,2017-08-31 07:00:00+07:00,2017-08-31 21:00:00+07:00,15
8,bull_low,2017-08-31 22:00:00+07:00,2017-09-02 06:00:00+07:00,33
9,bull_high,2017-09-02 07:00:00+07:00,2017-09-02 19:00:00+07:00,13
10,sideways_high,2017-09-02 20:00:00+07:00,2017-09-05 00:00:00+07:00,53
11,bear_high,2017-09-05 01:00:00+07:00,2017-09-06 03:00:00+07:00,27
12,sideways_high,2017-09-06 04:00:00+07:00,2017-09-10 12:00:00+07:00,98
13,bear_high,2017-09-10 13:00:00+07:00,2017-09-11 08:00:00+07:00,20
14,sideways_high,2017-09-11 09:00:00+07:00,2017-09-13 15:00:00+07:00,55
15,bear_high,2017-09-13 16:00:00+07:00,2017-09-18 08:00:00+07:00,113
16,sideways_high,2017-09-18 09:00:00+07:00,2017-09-22 15:00:00+07:00,103
17,bear_high,2017-09-22 16:00:00+07:00,2017-09-23 15:00:00+07:00,24
18,sideways_high,2017-09-23 16:00:00+07:00,2017-09-24 09:00:00+07:00,18
19,sideways_low,2017-09-24 10:00:00+07:00,2017-09-24 10:00:00+07:00,1
20,sideways_high,2017-09-24 11:00:00+07:00,2017-09-25 03:00:00+07:00,17
21,sideways_low,2017-09-25 04:00:00+07:00,2017-09-25 21:00:00+07:00,18
22,sideways_high,2017-09-25 22:00:00+07:00,2017-09-26 01:00:00+07:00,4
23,sideways_low,2017-09-26 02:00:00+07:00,2017-09-28 04:00:00+07:00,51
24,bull_low,2017-09-28 05:00:00+07:00,2017-09-28 10:00:00+07:00,6
25,bull_high,2017-09-28 11:00:00+07:00,2017-09-28 13:00:00+07:00,3
26,bull_low,2017-09-28 14:00:00+07:00,2017-09-28 16:00:00+07:00,3
27,bull_high,2017-09-28 17:00:00+07:00,2017-09-29 12:00:00+07:00,20
28,sideways_high,2017-09-29 13:00:00+07:00,2017-09-30 16:00:00+07:00,28
29,bull_high,2017-09-30 17:00:00+07:00,2017-10-01 07:00:00+07:00,15
30,bull_low,2017-10-01 08:00:00+07:00,2017-10-02 07:00:00+07:00,24
31,bull_high,2017-10-02 08:00:00+07:00,2017-10-02 12:00:00+07:00,5
32,bull_low,2017-10-02 13:00:00+07:00,2017-10-02 20:00:00+07:00,8
33,bull_high,2017-10-02 21:00:00+07:00,2017-10-03 00:00:00+07:00,4
34,bull_low,2017-10-03 01:00:00+07:00,2017-10-03 11:00:00+07:00,11
35,bull_high,2017-10-03 12:00:00+07:00,2017-10-03 13:00:00+07:00,2
36,sideways_high,2017-10-03 14:00:00+07:00,2017-10-04 07:00:00+07:00,18
37,sideways_low,2017-10-04 08:00:00+07:00,2017-10-04 08:00:00+07:00,1
38,sideways_high,2017-10-04 09:00:00+07:00,2017-10-04 10:00:00+07:00,2
39,sideways_low,2017-10-04 11:00:00+07:00,2017-10-04 11:00:00+07:00,1
40,sideways_high,2017-10-04 12:00:00+07:00,2017-10-05 03:00:00+07:00,16
41,sideways_low,2017-10-05 04:00:00+07:00,2017-10-09 07:00:00+07:00,100
42,bull_low,2017-10-09 08:00:00+07:00,2017-10-10 05:00:00+07:00,22
43,bull_high,2017-10-10 06:00:00+07:00,2017-10-10 10:00:00+07:00,5
44,bull_low,2017-10-10 11:00:00+07:00,2017-10-10 14:00:00+07:00,4
45,bull_high,2017-10-10 15:00:00+07:00,2017-10-10 15:00:00+07:00,1
46,bull_low,2017-10-10 16:00:00+07:00,2017-10-10 17:00:00+07:00,2
47,bull_high,2017-10-10 18:00:00+07:00,2017-10-10 18:00:00+07:00,1
48,bull_low,2017-10-10 19:00:00+07:00,2017-10-10 19:00:00+07:00,1
49,bull_high,2017-10-10 20:00:00+07:00,2017-10-11 01:00:00+07:00,6
50,bull_low,2017-10-11 02:00:00+07:00,2017-10-11 04:00:00+07:00,3
51,bull_high,2017-10-11 05:00:00+07:00,2017-10-11 20:00:00+07:00,16
52,bull_low,2017-10-11 21:00:00+07:00,2017-10-12 22:00:00+07:00,26
53,bull_high,2017-10-12 23:00:00+07:00,2017-10-14 20:00:00+07:00,46
54,bull_low,2017-10-14 21:00:00+07:00,2017-10-15 14:00:00+07:00,18
55,bull_high,2017-10-15 15:00:00+07:00,2017-10-16 17:00:00+07:00,27
56,bull_low,2017-10-16 18:00:00+07:00,2017-10-18 01:00:00+07:00,32
57,sideways_low,2017-10-18 02:00:00+07:00,2017-10-18 13:00:00+07:00,12
58,sideways_high,2017-10-18 14:00:00+07:00,2017-10-19 23:00:00+07:00,34
59,sideways_low,2017-10-20 00:00:00+07:00,2017-10-21 02:00:00+07:00,27
60,sideways_high,2017-10-21 03:00:00+07:00,2017-10-21 04:00:00+07:00,2
