ema_fast,ema_slow,buy_signal,sell_signal,total_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,final_equity,pnl_percent
1,2,15093,15093,15092,33.3,0.892239,-0.463119,0.9617,34.1638,821.2854,-17.8715
1,3,12795,12795,12794,31.64,0.985246,-0.470237,0.97,25.7393,876.5247,-12.3475
1,4,11348,11348,11347,29.99,1.092655,-0.48221,0.9709,25.5291,888.5926,-11.1407
1,5,10294,10294,10293,28.49,1.189921,-0.487726,0.9719,23.1335,899.1834,-10.0817
1,6,9449,9449,9448,27.39,1.300459,-0.494525,0.9922,19.6065,973.6417,-2.6358
1,7,8743,8743,8742,26.45,1.403368,-0.49978,1.0098,17.6283,1031.4999,3.15
1,8,8159,8160,8159,25.92,1.488551,-0.505013,1.0316,17.4085,1096.4928,9.6493
1,9,7689,7690,7689,25.53,1.561614,-0.513491,1.0428,18.0634,1125.7156,12.5716
1,10,7282,7283,7282,25.05,1.638141,-0.525046,1.0429,18.1201,1122.7929,12.2793
1,11,6933,6934,6933,24.38,1.721583,-0.529982,1.0473,16.2927,1131.3084,13.1308
1,12,6577,6578,6577,24.33,1.786929,-0.540013,1.0638,17.0207,1171.4409,17.1441
1,13,6284,6285,6284,24.46,1.814865,-0.546959,1.0743,15.6371,1193.0314,19.3031
1,14,6028,6029,6028,24.27,1.877097,-0.553232,1.0874,14.4843,1220.6895,22.0689
1,15,5788,5789,5788,23.72,1.970775,-0.564337,1.086,14.3155,1214.3264,21.4326
1,16,5607,5607,5606,23.4,2.011987,-0.567417,1.0837,13.2118,1203.8048,20.3805
1,17,5430,5430,5429,22.86,2.082319,-0.5682,1.0865,12.3103,1205.6741,20.5674
1,18,5267,5267,5266,22.58,2.137739,-0.576653,1.0814,11.1418,1191.3333,19.1333
1,19,5110,5110,5109,22.31,2.192266,-0.577304,1.0907,13.1596,1207.8649,20.7865
1,20,4950,4950,4949,21.7,2.277476,-0.571032,1.1054,10.92,1233.2616,23.3262
1,21,4798,4798,4797,21.97,2.285791,-0.577533,1.1145,10.6468,1247.5189,24.7519
1,22,4712,4712,4711,21.82,2.293718,-0.573477,1.1164,10.1458,1245.8265,24.5826
1,23,4603,4603,4602,21.3,2.373643,-0.578013,1.1111,10.1465,1232.6083,23.2608
1,24,4500,4500,4499,21.18,2.395179,-0.579937,1.11,11.2023,1226.1484,22.6148
