ema_fast,ema_slow,ema_mid,ema_long,buy_signal,sell_signal,total_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,final_equity,pnl_percent
60,63,50,150,31,34,12,58.33,88.073103,-12.136182,10.1599,2.681,1555.8308,55.5831
60,63,50,180,48,50,18,50.0,60.171008,-11.30499,5.3225,4.647,1439.7942,43.9794
60,63,50,200,64,58,23,43.48,57.842017,-10.540971,4.221,6.3131,1441.3875,44.1388
60,63,50,233,76,73,27,37.04,65.104207,-11.78506,3.2496,8.6861,1450.696,45.0696
60,63,50,250,80,82,28,35.71,68.209138,-11.680908,3.2441,8.3763,1471.835,47.1835
60,63,50,300,89,92,27,37.04,71.246364,-12.432057,3.3711,7.979,1501.1187,50.1119
60,63,70,150,31,33,11,63.64,88.073103,-11.84891,13.0078,2.681,1569.1161,56.9116
60,63,70,180,47,50,19,47.37,60.171008,-10.572415,5.1222,4.6597,1435.8149,43.5815
60,63,70,200,62,56,23,43.48,57.842017,-10.540971,4.221,6.3131,1441.3875,44.1388
60,63,70,233,76,72,27,37.04,65.104207,-11.7671,3.2545,8.6861,1451.0014,45.1001
60,63,70,250,78,79,28,35.71,65.104207,-11.678916,3.0969,8.5505,1440.8216,44.0822
60,63,70,300,87,91,27,37.04,68.095881,-12.191663,3.2856,8.1247,1473.7005,47.3701
60,63,89,150,27,25,9,66.67,90.111501,-16.541046,10.8955,3.0451,1491.0459,49.1046
60,63,89,180,46,47,17,58.82,55.824822,-13.690258,5.8253,4.0753,1462.4164,46.2416
60,63,89,200,62,57,22,45.45,57.606258,-11.116243,4.3185,6.3075,1442.6677,44.2668
60,63,89,233,76,74,27,37.04,65.104207,-11.78506,3.2496,8.6861,1450.696,45.0696
60,63,89,250,79,83,27,37.04,65.104207,-12.070568,3.1727,8.5236,1445.8424,44.5842
60,63,89,300,89,92,27,37.04,71.246364,-12.432057,3.3711,7.979,1501.1187,50.1119
60,63,100,150,25,17,7,57.14,134.928468,-16.541046,10.8763,3.0451,1490.0907,49.0091
60,63,100,180,47,46,16,56.25,61.842743,-12.879208,6.1737,3.6896,1466.4302,46.643
60,63,100,200,60,57,21,47.62,57.606258,-11.765062,4.4513,6.2903,1446.6469,44.6647
60,63,100,233,74,76,27,37.04,65.104207,-12.252346,3.1257,8.7328,1442.7522,44.2752
60,63,100,250,80,83,26,34.62,72.153171,-12.070568,3.1646,8.5333,1444.1789,44.4179
60,63,100,300,90,92,27,37.04,71.246364,-12.432057,3.3711,7.979,1501.1187,50.1119
60,63,120,150,10,8,3,33.33,285.120736,-10.155444,14.0378,1.3526,1264.8098,26.481
60,63,120,180,38,37,14,57.14,76.316679,-18.71494,5.4371,5.0227,1498.2438,49.8244
60,63,120,200,55,52,19,52.63,57.747277,-13.711179,4.6797,5.7584,1454.0722,45.4072
60,63,120,233,72,75,24,37.5,73.58575,-13.187784,3.3479,7.3161,1464.455,46.4455
60,63,120,250,80,82,25,36.0,73.58575,-12.760994,3.2436,7.7496,1458.0958,45.8096
60,63,120,300,90,92,26,38.46,69.430755,-13.392096,3.2403,7.6354,1480.034,48.0034
60,63,50,150,31,34,12,58.33,88.073103,-12.136182,10.1599,2.681,1555.8308,55.5831
60,63,50,180,48,50,18,50.0,60.171008,-11.30499,5.3225,4.647,1439.7942,43.9794
60,63,50,200,64,58,23,43.48,57.842017,-10.540971,4.221,6.3131,1441.3875,44.1388
60,63,50,233,76,73,27,37.04,65.104207,-11.78506,3.2496,8.6861,1450.696,45.0696
60,63,50,250,80,82,28,35.71,68.209138,-11.680908,3.2441,8.3763,1471.835,47.1835
60,63,50,300,89,92,27,37.04,71.246364,-12.432057,3.3711,7.979,1501.1187,50.1119
60,63,70,150,31,33,11,63.64,88.073103,-11.84891,13.0078,2.681,1569.1161,56.9116
